Workout,startTime,weekDay,regionId,orgId,locationId,URL
Renegade,5:30am,Thursday,25256,34589,34589,https://map.f3nation.com/?locationId=34589&eventId=34589
Iron Man,5:30am,Tuesday,25256,34590,34590,https://map.f3nation.com/?locationId=34590&eventId=34590
